time; pid; rtt; vtt 
2024-06-11 13:11:03,817; 38804; 195891200.00; 4540268544.00
2024-06-11 13:11:03,821; 38804; 196202496.00; 4540268544.00
2024-06-11 13:11:03,825; 38804; 193064960.00; 4536430592.00
2024-06-11 13:11:03,828; 38804; 193064960.00; 4536430592.00
2024-06-11 13:11:03,832; 38804; 193064960.00; 4536430592.00
2024-06-11 13:11:03,836; 38804; 193601536.00; 4536430592.00
2024-06-11 13:11:03,840; 38804; 193601536.00; 4536430592.00
2024-06-11 13:11:03,843; 38804; 193675264.00; 4536430592.00
2024-06-11 13:11:03,847; 38804; 193675264.00; 4536430592.00
2024-06-11 13:11:03,851; 38804; 193855488.00; 4536430592.00
2024-06-11 13:11:03,854; 38804; 194666496.00; 4536430592.00
2024-06-11 13:11:03,858; 38804; 194871296.00; 4536430592.00
2024-06-11 13:11:03,862; 38804; 195166208.00; 4536430592.00
2024-06-11 13:11:03,865; 38804; 195252224.00; 4536430592.00
2024-06-11 13:11:03,869; 38804; 195334144.00; 4536430592.00
2024-06-11 13:11:03,873; 38804; 195416064.00; 4536430592.00
2024-06-11 13:11:03,877; 38804; 195575808.00; 4536430592.00
2024-06-11 13:11:03,881; 38804; 195665920.00; 4536430592.00
2024-06-11 13:11:03,886; 38804; 195825664.00; 4536430592.00
2024-06-11 13:11:03,894; 38804; 196136960.00; 4536430592.00
2024-06-11 13:11:03,902; 38804; 196358144.00; 4536430592.00
2024-06-11 13:11:03,909; 38804; 196472832.00; 4536430592.00
2024-06-11 13:11:03,915; 38804; 196894720.00; 4536430592.00
2024-06-11 13:11:03,924; 38804; 197193728.00; 4536430592.00
2024-06-11 13:11:03,932; 38804; 197378048.00; 4536430592.00
2024-06-11 13:11:03,939; 38804; 197722112.00; 4536430592.00
2024-06-11 13:11:03,946; 38804; 197808128.00; 4536430592.00
2024-06-11 13:11:03,951; 38804; 198004736.00; 4536430592.00
2024-06-11 13:11:03,956; 38804; 198004736.00; 4536430592.00
2024-06-11 13:11:03,960; 38804; 198103040.00; 4536430592.00
2024-06-11 13:11:03,964; 38804; 198279168.00; 4536430592.00
2024-06-11 13:11:03,968; 38804; 198381568.00; 4536430592.00
2024-06-11 13:11:03,971; 38804; 198381568.00; 4536430592.00
2024-06-11 13:11:03,975; 38804; 198516736.00; 4536430592.00
2024-06-11 13:11:03,981; 38804; 198701056.00; 4536430592.00
2024-06-11 13:11:03,987; 38804; 198787072.00; 4536430592.00
2024-06-11 13:11:03,992; 38804; 198787072.00; 4536430592.00
2024-06-11 13:11:04,000; 38804; 199012352.00; 4536430592.00
